qid,question,answer_id,video_id,a0,a1,a2,a3,start,end,id
6,How many lemon pieces are there?,0,668NBDl9gVM_120_180,1,2,3,4,121,125,668NBDl9gVM
10,what is the name of the place,0,zW7FOSeV530_0_60,Mary's greenhouse,peters,Paul's,Charlie's,24,41,zW7FOSeV530
19,How many bowls are on the table that she's working at?,0,kocA0--bcvc_0_60,7,6,9,5,3,7,kocA0--bcvc
21,What company is responsible for this clip?,0,7tBHUmxNqVg_120_180,Anna's Flowers,Picking's Florist,Freytag's Flowery,Walmart,159,180,7tBHUmxNqVg
34,What makes this spicy?,0,NOuQuofjk44_180_240,hard pepper,chili,ginger,garlic,188,239,NOuQuofjk44
46,What color are the scissor handles ?,0,JnWx0SZ7Pw0_60_120,White,It's a wooden spoon.,Black,Blue,62,66,JnWx0SZ7Pw0
47,what is the color of the dress the lady is wearing?,0,p6rcHJBO0AI_120_180,the color red,the color brown,the color blue,the color purple,120,131,p6rcHJBO0AI
48,what is the color of his shirt,0,Lj2asVY2SCI_180_240,blue,red,orange,black,207,226,Lj2asVY2SCI
52,What is the presenter's favorite poinsettia?,0,kZIsTMzhoZo_0_60,The infinity poinsettia,The Christmas poinsettia,The Easter poinsettia,The icicle poinsettia,0,54,kZIsTMzhoZo
54,Where is Leonard Perry working?,0,TFshe3RoMTc_0_60,University of Vermont Extention,In the hospital,In Nursery,In the garden,12,26,TFshe3RoMTc
57,what is the color of leaves?,0,TFshe3RoMTc_60_120,pink,Green,orange,black,64,71,TFshe3RoMTc
60,What do you think is most likely the name of this speaker's video channel?,0,DUEyiEnMVj4_0_60,"his channel is called ""whatsdev""","his channel is called ""professional graphix""","his channel is called ""digitaldezignz","his channel is called ""graphics co.""",12,13,DUEyiEnMVj4
64,How many diamond shapes are there ?,0,F_A9dp-SQ-s_0_60,Thirteen to fifteen,Six,Zero,Two,4,9,F_A9dp-SQ-s
86,what is the color of plate?,0,BVlGoJOCH94_60_120,green,pink,yellow,black,64,72,BVlGoJOCH94
87,what is the man wearing on his head?,0,mgRG0lIQCm0_120_180,cowboy hat,a bandana,a beanie,a hood,120,124,mgRG0lIQCm0
92,What kind of flower is featured in this clip?,0,IVoOzXzOa9c_180_240,Orange Spice,Yellow Tulips,Sunflowers,Blue Violets,223,237,IVoOzXzOa9c
94,How many optional ingredients are displayed in the clip?,0,BVlGoJOCH94_120_180,two ingredients,one ingredient,six ingredients,seven ingredients,164,180,BVlGoJOCH94
96,What color is the sugar clip ?,0,sMNiYqB-6j8_180_240,Green,Red,Black,White,187,193,sMNiYqB-6j8
105,What kind of flowers are grown in this greenhouse?,0,ArEU1IOEC0E_60_120,poinsettia,tulips,roses,carnations,60,66,ArEU1IOEC0E
